prediction,target
213.60934998480510671,212.9900055000000236304913414642214775085
210.5270749552369125,210.6999969000000021424057194963097572327
211.26219528444491402,212.6999969000000021424057194963097572327
210.57903377483444274,212.4600066999999796735210111364722251892
213.6326581815337704,211.1399993999999935567757347598671913147
214.9756830913393344,211.5700073000000429601641371846199035645
215.77361221903595379,211.3600006000000064432242652401328086853
215.65308332147543524,211.9199981999999806703272042796015739441
214.49595937748455299,210.1300049000000171872670762240886688232
214.75075279869304268,209.7700043000000107440428109839558601379
214.38669055610645842,208.4199981999999806703272042796015739441
213.65990989259449861,208.4499969000000021424057194963097572327
214.57826866116735687,210.9600066999999796735210111364722251892
213.76802004927478151,211.6499939000000267697032541036605834961
211.17773497682824768,209.9299926999999570398358628153800964355
212.02247909428345451,209.1000061000000016520061763003468513489
212.07501730976468934,210.25
212.19537712847929356,210.5899962999999956991814542561769485474
212.14919547464560878,212.7100066999999796735210111364722251892
211.61373879609740811,210.8099975999999742271029390394687652588
210.95167645425732417,211.8899993999999935567757347598671913147
210.74841882679541527,212.0500030999999978575942805036902427673
213.14212704232983242,210.5099944999999763695086585357785224915
213.28763880034708222,209.8300018000000193296727957203984260559
212.17587077396271411,209.8999939000000267697032541036605834961
209.54862309383526053,205.4700011999999844647391000762581825256
210.78022405378433746,205.8899993999999935567757347598671913147
210.96558946067935381,207.5700073000000145384547067806124687195
214.1660941765359496,207.3200073000000145384547067806124687195
213.01628522948593059,206.6699981999999806703272042796015739441
213.04462068550498088,208.0099945000000047912180889397859573364
212.59036505028646502,204.5299988000000155352608999237418174744
211.75936405746466562,204.8000030999999978575942805036902427673
211.3001446046679348,207.4799956999999892559571890160441398621
211.39434711544913625,209.7599944999999763695086585357785224915
207.26775746843526349,210.7200012000000128864485304802656173706
207.79766665409809434,210.6300049000000171872670762240886688232
210.60960177530546389,212.2700043000000107440428109839558601379
210.83272196461081194,212.4700012000000128864485304802656173706
211.97977638462745631,212.6199950999999828127329237759113311768
214.83863804559445043,211.7599944999999763695086585357785224915
213.94285156049113539,211.2899933000000203264789888635277748108
215.00508146965788114,210.1399993999999935567757347598671913147
216.91806606784862765,207.9400023999999973511876305565237998962
218.07223656531155598,206.7400054999999952087819110602140426636
217.44202539566353494,209.3099976000000026488123694434762001038
217.75020597366483344,210.7700043000000107440428109839558601379
222.33296519455643647,210.8200073000000429601641371846199035645
226.3769919575682934,210.4499969000000021424057194963097572327
227.0961385439749165,209.7299956999999892559571890160441398621
225.23892560001135621,209.3200073000000145384547067806124687195
224.76409800868762545,210.1000060999999732302967458963394165039
223.28011222097111954,208.3500061000000016520061763003468513489
223.11279092706325855,207.9199981999999806703272042796015739441
221.22523133808599027,210.6300049000000171872670762240886688232
221.55263368154555792,208.6600036999999758791091153398156166077
224.16331611990833039,208.9199981999999806703272042796015739441
225.07845062856304708,208.6999969000000021424057194963097572327
226.65301622366436618,209.3600006000000064432242652401328086853
226.60309026764872442,210.5599975999999742271029390394687652588
228.44346807457048953,209.9299926999999570398358628153800964355
230.22740972782600011,208.2799988000000155352608999237418174744
227.31251297735349226,204.0099945000000047912180889397859573364
227.96634298553087206,197.6300049000000171872670762240886688232
228.06250991482050949,189.5500030999999978575942805036902427673
230.32976509509398966,187.2299956999999892559571890160441398621
232.00020552028428256,194.6799926999999854615452932193875312805
235.87193379747102995,199.1600036999999758791091153398156166077
236.51680459634260956,199.2400054999999952087819110602140426636
237.39232312479813913,197.5399933000000203264789888635277748108
236.73970201070474673,191.7700043000000107440428109839558601379
237.4197294386967485,195.4100036999999758791091153398156166077
233.59791402196881904,195.6499938999999983479938236996531486511
